,launch_speed,launch_angle,woba_value
0,63.8,-43.0,0.0
16,66.1,37.0,0.9
21,80.7,74.0,0.0
26,58.9,-15.0,0.0
32,90.2,63.0,0.0
33,103.8,20.0,0.0
40,81.7,18.0,0.9
52,70.3,24.0,0.9
53,96.7,42.0,0.0
56,84.6,40.0,0.0
68,76.2,37.0,0.9
72,98.9,-37.0,0.0
77,68.3,-4.0,0.0
82,108.0,11.0,0.9
88,111.1,12.0,0.9
89,56.3,2.0,0.0
94,102.9,-7.0,0.9
101,100.1,6.0,0.9
105,76.9,-3.0,0.9
109,54.7,28.0,0.0
110,91.6,-4.0,0.0
112,89.6,30.0,0.0
117,77.8,2.0,0.0
118,80.0,-52.0,0.0
120,76.2,-6.0,0.0
134,104.8,34.0,2.0
139,99.7,-9.0,0.0
143,77.5,-45.0,0.0
151,54.3,-30.0,0.9
157,88.2,21.0,0.0
161,100.5,2.0,0.9
165,105.4,18.0,1.25
168,103.0,24.0,0.0
172,106.9,-1.0,0.9
173,100.1,19.0,0.0
177,69.6,-9.0,0.0
183,86.4,-12.0,0.0
189,92.0,9.0,0.9
193,76.1,-39.0,0.0
199,82.6,-57.0,0.0
206,104.9,24.0,1.25
209,84.9,-5.0,0.0
216,33.5,-31.0,0.0
225,98.4,4.0,0.0
232,59.6,-60.0,0.0
244,79.7,11.0,0.9
247,90.1,26.0,0.0
248,109.1,-5.0,0.9
264,82.2,47.0,0.0
272,101.6,9.0,0.0
274,78.0,3.0,0.0
283,79.2,28.0,0.0
291,84.8,22.0,0.0
300,86.7,46.0,0.0
305,85.2,84.0,0.0
311,97.4,22.0,0.0
314,109.9,-3.0,0.0
315,69.0,-35.0,0.0
317,82.0,77.0,0.0
323,97.3,58.0,0.9
325,113.5,7.0,0.9
331,76.4,40.0,0.0
335,89.8,-1.0,0.9
337,97.8,60.0,0.0
342,80.2,17.0,1.25
351,92.9,42.0,0.0
357,107.0,52.0,0.0
359,94.0,-10.0,0.0
362,98.4,26.0,0.0
369,99.6,-40.0,0.0
381,107.6,13.0,0.0
386,89.8,-23.0,0.0
391,104.4,41.0,0.0
394,103.7,-9.0,0.9
398,95.3,37.0,0.0
401,109.5,7.0,0.0
404,90.6,35.0,0.0
405,106.6,35.0,2.0
411,63.9,13.0,0.0
417,85.1,69.0,0.0
419,108.9,5.0,0.9
422,92.3,35.0,0.0
427,106.6,-1.0,0.0
428,81.1,29.0,0.9
434,100.5,-12.0,0.0
436,104.3,7.0,0.0
441,104.9,-3.0,0.9
448,79.7,73.0,0.0
456,78.8,21.0,0.9
463,91.6,-20.0,0.0
473,105.0,39.0,2.0
478,93.6,-21.0,0.0
486,107.0,-10.0,0.0
492,98.9,-14.0,0.0
496,98.6,-12.0,0.0
497,84.8,-11.0,0.0
506,103.1,32.0,0.0
518,79.6,28.0,0.0
519,105.3,5.0,0.0
524,102.5,3.0,0.0
527,97.1,22.0,0.9
530,70.7,12.0,0.0
538,52.4,-37.0,0.9
540,90.2,28.0,0.0
544,111.1,14.0,0.0
545,103.1,9.0,1.25
561,97.2,-18.0,0.9
567,110.7,21.0,2.0
577,100.8,17.0,0.0
585,106.6,17.0,0.0
599,88.7,19.0,0.9
605,99.7,11.0,0.0
610,101.3,6.0,0.9
625,108.1,14.0,0.0
626,76.7,40.0,0.0
630,86.7,-10.0,0.9
636,94.0,50.0,0.0
641,61.3,65.0,0.0
642,96.1,18.0,0.9
645,96.3,-14.0,0.0
648,66.0,70.0,0.0
660,96.6,-6.0,0.0
669,60.2,-78.0,0.0
679,89.1,21.0,0.0
684,63.6,-49.0,0.9
692,98.8,7.0,0.0
696,81.1,-45.0,0.0
698,75.5,-12.0,0.0
700,69.4,-18.0,0.0
701,80.6,-37.0,0.0
718,70.5,-47.0,0.0
733,65.7,20.0,0.9
738,73.8,83.0,0.0
752,105.6,31.0,2.0
769,65.5,-64.0,0.0
771,103.0,5.0,0.0
776,73.5,1.0,0.0
788,75.1,17.0,0.9
789,31.4,-45.0,0.0
799,78.4,-17.0,0.0
805,34.1,-20.0,0.0
810,101.4,16.0,0.9
816,91.4,36.0,0.0
821,92.1,70.0,0.0
824,78.9,6.0,0.0
833,86.2,56.0,0.0
836,31.3,-35.0,0.0
857,100.5,6.0,0.0
860,80.8,10.0,0.0
867,99.1,5.0,0.9
870,96.7,48.0,0.0
871,81.8,-29.0,0.9
873,96.7,42.0,0.0
877,91.3,42.0,0.0
884,75.7,23.0,0.9
889,92.7,34.0,0.0
891,103.0,39.0,0.0
893,109.5,20.0,2.0
895,58.2,-16.0,0.0
897,98.1,0.0,0.0
910,96.8,57.0,0.0
917,96.3,24.0,0.0
918,102.8,10.0,0.9
924,105.5,21.0,0.0
935,63.0,-11.0,0.0
948,89.5,20.0,0.0
968,97.2,21.0,1.25
983,78.1,62.0,0.0
987,114.9,18.0,0.9
991,97.7,-42.0,0.9
994,104.9,28.0,2.0
998,86.2,43.0,0.0
1001,101.5,3.0,0.0
1007,108.3,6.0,0.0
1015,83.8,24.0,0.0
1022,96.4,53.0,0.0
1024,105.8,-25.0,0.0
1027,112.2,2.0,0.9
1032,90.4,32.0,0.0
1036,100.3,38.0,0.0
1046,90.3,-4.0,0.0
1058,58.9,-54.0,0.9
1059,110.3,31.0,2.0
1063,100.0,29.0,0.0
1073,84.9,46.0,0.0
1085,105.1,21.0,1.25
1100,57.7,-83.0,0.9
1106,104.2,18.0,0.0
1112,90.1,70.0,0.0
1113,108.1,23.0,2.0
1123,71.6,57.0,0.0
1125,103.1,42.0,0.0
1136,94.8,29.0,0.9
1138,73.7,46.0,0.0
1140,113.8,-4.0,0.0
1141,95.2,-13.0,0.0
1145,93.3,-18.0,0.0
1150,75.3,65.0,0.0
1159,96.8,18.0,0.0
1168,91.8,29.0,0.0
1169,76.1,-25.0,0.0
1171,99.7,-18.0,0.0
1174,95.1,61.0,0.0
1179,99.4,39.0,0.0
1181,79.2,-41.0,0.0
1183,65.0,4.0,0.0
1185,94.4,15.0,0.9
1195,88.3,22.0,0.0
1200,98.7,-20.0,0.0
1202,71.3,44.0,0.0
1203,89.4,26.0,0.0
1208,93.8,-18.0,0.0
1212,101.9,33.0,0.0
1220,62.0,-32.0,0.0
1229,103.2,-11.0,0.0
1231,102.9,-13.0,0.9
1237,104.7,37.0,0.0
1242,111.4,-3.0,0.0
1247,36.2,-30.0,0.0
1252,90.4,16.0,0.9
1266,78.4,39.0,0.0
1270,92.0,67.0,0.0
1277,98.3,58.0,0.0
1278,68.8,22.0,0.9
1279,110.5,14.0,1.25
1283,72.2,0.0,0.0
1286,83.5,25.0,0.9
1299,99.4,1.0,0.0
1300,59.6,-33.0,0.0
1312,86.5,13.0,0.9
1317,89.1,-8.0,0.0
1337,63.2,-54.0,0.0
1340,100.8,36.0,0.0
1344,95.5,70.0,0.0
1347,103.1,13.0,0.9
1351,90.6,22.0,1.25
1354,101.9,59.0,0.0
1358,117.9,21.0,2.0
1366,94.3,27.0,0.0
1370,102.0,20.0,0.0
1374,97.2,38.0,2.0
1381,84.2,43.0,0.0
1383,96.5,45.0,0.0
1384,101.1,-11.0,0.0
1387,71.9,-18.0,0.0
1393,77.0,17.0,0.9
1401,69.2,8.0,0.0
1403,86.0,24.0,0.0
1405,57.2,-62.0,0.0
